URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti,Tití Me Preguntó,Bad Bunny,1,4,80,True,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
1CS7Sd1u5tWkstBhpssyjP,Hozier (Expanded Edition),Take Me to Church,Hozier,1,1,80,False,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,4
48QmG1dfvMuYLxMPt7KSRA,Mad Love The Prequel,No Lie,Sean Paul; Dua Lipa,1,9,80,False,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4
5e9TFTbltYBg2xThimr0rU,Rumours (Super Deluxe),The Chain - 2004 Remaster,Fleetwood Mac,1,7,80,False,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
2FY7b99s15jUprqC0M5NCT,Origins (Deluxe),Natural,Imagine Dragons,1,1,80,False,0.704,0.611,2,-6.112,1,0.041,0.217,0.0,0.0812,0.22,99.994,189467,4
0CAfXk7DXMnon4gLudAp7J,Mail on Sunday,Low (feat. T-Pain),Flo Rida; T-Pain,1,5,80,False,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4
5Eax0qFko2dh7Rl2lYs3bx,Un Verano Sin Ti,Efecto,Bad Bunny,1,10,80,True,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4
5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,7 Years,Lukas Graham,1,1,80,False,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,4
5Z3GHaZ6ec9bsiI5BenrbY,American Teen,Young Dumb & Broke,Khalid,1,2,80,False,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4
2wAJTrFhCnQyNSD3oUgTZO,Cole World: The Sideline Story,Work Out,J. Cole,1,16,80,True,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,235320,4
4LwU4Vp6od3Sb08CsP99GC,2001,The Next Episode,Dr. Dre; Snoop Dogg,1,11,80,True,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4
6Xom58OOXk2SoU711L2IXO,Un Verano Sin Ti,Moscow Mule,Bad Bunny,1,1,80,True,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4
0xmjwnQ3FNE6HuWCt2nHdZ,Elephunk,Where Is The Love?,Black Eyed Peas,1,13,80,False,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,272533,4
58ge6dfP91o9oXMzq3XkIS,Favourite Worst Nightmare (Standard Version),505,Arctic Monkeys,1,12,80,False,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4
4tqcoej1zPvwePZCzuAjJd,2014 Forest Hills Drive,Wet Dreamz,J. Cole,1,3,80,True,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4
5nujrmhLynf4yMoMtj8AQF,Future Nostalgia,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1,12,80,False,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
